|-Pesticide|                        1               2               3               4               5              6
    # Name                        PSOL            PHLS            PHLF            PWOF            PKOC            PCST 
    1 2,4-D               1.000000E+03    1.000000E+01    9.000000E+00    4.000000E-01    7.400000E+01    0.000000E+00
    2 2,4,5-T             2.300000E+02    1.200000E+01    9.000000E+00    4.000000E-01    8.500000E+01    0.000000E+00
    3 Aatrex              3.300000E+01    6.000000E+01    5.000000E+00    4.000000E-01    8.000000E+01    0.000000E+00
    4 Abate               0.000000E+00    3.000000E+01    5.000000E+00    6.000000E-01    1.000000E+06    0.000000E+00
    5 Acaraben            1.300000E+01    2.000000E+01    1.000000E+01    1.000000E-01    2.000000E+03    0.000000E+00
    6 Accelerate          1.000000E+05    7.000000E+00    7.000000E+00    9.000000E-01    2.000000E+01    0.000000E+00
    7 Acclaim             8.000000E-01    9.000000E+00    5.000000E+00    2.000000E-01    9.490000E+03    0.000000E+00
    8 Actellic            9.000000E+00    1.000000E+01    9.900000E+01    1.000000E+00    1.000000E+03    0.000000E+00
    9 Alanap              2.310000E+05    1.400000E+01    7.000000E+00    9.000000E-01    2.000000E+01    0.000000E+00
   10 Alar                1.000000E+05    7.000000E+00    4.000000E+00    9.000000E-01    1.000000E+01    0.000000E+00
   11 Aldrin              1.000000E-01    2.800000E+01    2.000000E+00    1.000000E-01    3.000000E+02    0.000000E+00
   12 Aliette             1.200000E+05    1.000000E-01    1.000000E-01    9.000000E-01    2.000000E+01    0.000000E+00
   13 Ally                9.500000E+03    1.200000E+02    3.000000E+01    8.000000E-01    3.500000E+01    0.000000E+00
   14 Amdro               0.000000E+00    1.000000E+01    9.900000E+01    1.000000E+00    7.300000E+05    0.000000E+00
   15 Amiben              9.000000E+05    1.400000E+01    7.000000E+00    9.000000E-01    1.500000E+01    0.000000E+00
   16 Amid-Thin W         1.000000E+02    1.000000E+01    5.000000E+00    6.000000E-01    1.000000E+02    0.000000E+00
   17 Amitrol T           3.600000E+05    1.400000E+01    5.000000E+00    9.000000E-01    1.000000E+02    0.000000E+00
   18 Ammo                0.000000E+00    3.000000E+01    5.000000E+00    4.000000E-01    1.000000E+05    0.000000E+00
   19 Antor               1.050000E+02    2.100000E+01    1.000000E+01    4.000000E-01    1.400000E+03    0.000000E+00
   20 A-Rest              6.500000E+02    1.200000E+02    3.000000E+01    5.000000E-01    1.200000E+02    0.000000E+00
   21 Arsenal             1.100000E+04    9.000000E+01    3.000000E+01    9.000000E-01    1.000000E+02    0.000000E+00
   22 Arsonate            1.000000E+06    1.000000E+02    3.000000E+01    9.000000E-01    1.000000E+04    0.000000E+00
   23 Asana               0.000000E+00    3.500000E+01    8.000000E+00    4.000000E-01    5.300000E+03    0.000000E+00
   24 Assert              1.370000E+03    3.500000E+01    1.800000E+01    6.000000E-01    6.600000E+01    0.000000E+00
   25 Assert              8.750000E+02    3.500000E+01    1.800000E+01    6.000000E-01    3.500000E+01    0.000000E+00
   26 Assure              3.000000E-01    6.000000E+01    1.500000E+01    2.000000E-01    5.100000E+02    0.000000E+00
   27 Asulox              5.500000E+05    7.000000E+00    3.000000E+00    9.000000E-01    4.000000E+01    0.000000E+00
   28 Avenge              8.170000E+05    1.000000E+02    3.000000E+01    9.000000E-01    5.450000E+04    0.000000E+00
   29 Azodrin             1.000000E+06    3.000000E+01    2.000000E+00    9.000000E-01    1.000000E+00    0.000000E+00
   30 Balan               1.000000E-01    3.000000E+01    1.000000E+01    2.000000E-01    9.000000E+03    0.000000E+00
   31 Banol               1.000000E+06    3.000000E+01    1.500000E+01    9.000000E-01    1.000000E+06    0.000000E+00
   32 Banvel              4.000000E+05    1.400000E+01    9.000000E+00    6.000000E-01    2.000000E+00    0.000000E+00
   33 Basagran            2.300000E+06    2.000000E+01    2.000000E+00    6.000000E-01    3.400000E+01    0.000000E+00
   34 Basta               1.370000E+06    7.000000E+00    4.000000E+00    9.000000E-01    1.000000E+02    0.000000E+00
   35 Baygon              1.800000E+03    3.000000E+01    9.900000E+01    1.000000E+00    3.000000E+01    0.000000E+00
   36 Bayleton            7.150000E+01    2.600000E+01    8.000000E+00    3.000000E-01    3.000000E+02    0.000000E+00
   37 Baytex              4.200000E+00    3.400000E+01    2.000000E+00    6.000000E-01    1.500000E+03    0.000000E+00
   38 Baythroid           0.000000E+00    3.000000E+01    5.000000E+00    4.000000E-01    1.000000E+05    0.000000E+00
   39 Benlate             2.000000E+00    2.400000E+02    6.000000E+00    3.000000E-01    1.900000E+03    0.000000E+00
   40 Benzex              1.000000E-01    6.000000E+02    3.000000E+00    1.000000E-01    5.500000E+04    0.000000E+00
   41 Betamix             4.700000E+00    3.000000E+01    5.000000E+00    7.000000E-01    2.400000E+03    0.000000E+00
   42 Betanex             8.000000E+00    3.000000E+01    5.000000E+00    7.000000E-01    1.500000E+03    0.000000E+00
   43 Bidrin              1.000000E+06    2.800000E+01    2.000000E+01    7.000000E-01    7.500000E+01    0.000000E+00
   44 Bladex              1.700000E+02    1.400000E+01    5.000000E+00    6.000000E-01    1.900000E+02    0.000000E+00
   45 Bolero              2.800000E+01    2.100000E+01    7.000000E+00    7.000000E-01    9.000000E+02    0.000000E+00
   46 Bolstar             3.000000E-01    1.400000E+02    5.000000E-01    6.000000E-01    1.200000E+04    0.000000E+00
   47 Bordermaster        5.000000E+00    2.500000E+01    8.000000E+00    5.000000E-01    1.000000E+03    0.000000E+00
   48 Botran              7.000000E+00    1.000000E+01    4.000000E+00    5.000000E-01    1.000000E+03    0.000000E+00
   49 Bravo               6.000000E-01    3.000000E+01    5.000000E+00    5.000000E-01    1.380000E+03    0.000000E+00
   50 Brom-O-Sol          1.340000E+04    5.500000E+01    9.900000E+01    1.000000E+00    2.200000E+01    0.000000E+00
   51 Broot               5.800000E+01    2.000000E+01    9.900000E+01    1.000000E+00    4.000000E+02    0.000000E+00
   52 Buctril             1.000000E-01    7.000000E+00    3.000000E+00    2.000000E-01    1.000000E+04    0.000000E+00
   53 Butyrac Ester       8.000000E+00    7.000000E+00    9.000000E+00    4.000000E-01    5.000000E+02    0.000000E+00
   54 Caparol             3.300000E+01    6.000000E+01    1.000000E+01    5.000000E-01    4.000000E+02    0.000000E+00
   55 Carbamate           1.200000E+02    1.700000E+01    3.000000E+00    9.000000E-01    3.000000E+02    0.000000E+00
   56 Carbofos            1.450000E+02    2.500000E+01    3.000000E+00    9.000000E-01    1.800000E+03    0.000000E+00
   57 Carsoron            2.120000E+01    6.000000E+01    5.000000E+00    4.000000E-01    4.000000E+02    0.000000E+00
   58 Carzol              5.000000E+05    1.000000E+02    3.000000E+01    9.000000E-01    1.000000E+06    0.000000E+00
   59 Cerone              1.239000E+06    1.000000E+01    5.000000E+00    9.000000E-01    1.000000E+05    0.000000E+00
   60 Chem-Hoe            2.500000E+02    1.000000E+01    2.000000E+00    5.000000E-01    2.000000E+02    0.000000E+00
   61 Chlordane           1.000000E-01    1.000000E+02    2.500000E+00    1.000000E-01    1.000000E+05    0.000000E+00
   62 Chopper             5.000000E+05    9.000000E+01    3.000000E+01    8.000000E-01    1.000000E+02    0.000000E+00
   63 Classic             1.200000E+03    4.000000E+01    1.500000E+01    9.000000E-01    1.100000E+02    0.000000E+00
   64 Cobra               1.000000E-01    3.000000E+00    2.000000E+00    2.000000E-01    1.000000E+05    0.000000E+00
   65 Comite              5.000000E-01    5.600000E+01    5.000000E+00    2.000000E-01    4.000000E+03    0.000000E+00
   66 Command             1.000000E+03    2.400000E+01    3.000000E+00    8.000000E-01    3.000000E+02    0.000000E+00
   67 Cotoran             1.100000E+02    8.500000E+01    3.000000E+01    5.000000E-01    1.000000E+02    0.000000E+00
   68 Counter             5.000000E+00    5.000000E+00    2.500000E+00    6.000000E-01    5.000000E+02    0.000000E+00
   69 Crossbow            2.100000E+06    4.600000E+01    1.500000E+01    9.000000E-01    2.000000E+01    0.000000E+00
   70 Curacron            2.800000E+01    8.000000E+00    3.000000E+00    9.000000E-01    2.000000E+03    0.000000E+00
   71 Cygon               3.980000E+04    7.000000E+00    3.000000E+00    9.000000E-01    2.000000E+01    0.000000E+00
   72 Cyprex              7.000000E+02    2.000000E+01    1.000000E+01    5.000000E-01    1.000000E+05    0.000000E+00
   73 Cythion             1.300000E+02    1.000000E+00    3.000000E+00    9.000000E-01    1.800000E+03    0.000000E+00
   74 Dacamine            8.900000E+02    1.000000E+01    5.000000E+00    4.000000E-01    2.000000E+01    0.000000E+00
   75 Dacthal             5.000000E-01    1.000000E+02    1.000000E+01    3.000000E-01    5.000000E+03    0.000000E+00
   76    Dacthal          5.000000E-01    2.000000E+01    1.000000E+01    3.000000E-01    5.000000E+03    0.000000E+00
   77    D. Monoacid      3.000000E+03    1.000000E+01    9.900000E+01    1.000000E+00    2.000000E+01    0.000000E+00
   78    D. Diacid        5.780000E+03    3.000000E+02    9.900000E+01    1.000000E+00    2.000000E+00    0.000000E+00
   79 Dalapon             8.000000E+05    3.000000E+01    3.700000E+01    9.000000E-01    1.000000E+00    0.000000E+00
   80 Dasanit             0.000000E+00    2.400000E+01    4.000000E+00    9.000000E-01    1.000000E+04    0.000000E+00
   81 DDT                 1.000000E-01    1.200000E+02    1.000000E+01    1.000000E-01    2.400000E+05    0.000000E+00
   82 Dedweed             8.660000E+05    2.500000E+01    7.000000E+00    9.000000E-01    2.000000E+01    0.000000E+00
   83 DEF                 2.300000E+00    3.000000E+01    7.000000E+00    3.000000E-01    5.000000E+03    0.000000E+00
   84 Dessicant L-10      1.700000E+04    1.000000E+04    1.000000E+04    9.000000E-01    1.000000E+05    0.000000E+00
   85 Devrinol            7.400000E+01    7.000000E+01    1.500000E+01    6.000000E-01    4.000000E+02    0.000000E+00
   86 Dibrom              2.000000E+03    1.000000E+00    5.000000E-01    9.000000E-01    1.800000E+02    0.000000E+00
   87 Dieldrin            1.000000E-01    1.400000E+03    5.000000E+00    1.000000E-01    5.000000E+04    0.000000E+00
   88 Dimilin             1.000000E-01    1.000000E+01    2.700000E+01    1.000000E-01    1.000000E+04    0.000000E+00
   89 Dinitro             5.000000E+01    2.000000E+01    3.000000E+00    6.000000E-01    5.000000E+02    0.000000E+00
   90 Dinitro             2.200000E+03    2.000000E+01    1.000000E+01    9.000000E-01    6.300000E+01    0.000000E+00
   91 Diquat              7.180000E+05    1.000000E+03    3.000000E+01    9.000000E-01    1.000000E+06    0.000000E+00
   92 Dinoseb             5.000000E+01    2.300000E+01    2.300000E+01    1.000000E+00    4.900000E+02    0.000000E+00
   93 Di-Syston           2.500000E+01    3.000000E+01    3.000000E+00    5.000000E-01    6.000000E+02    0.000000E+00
   94 Dithane             6.000000E+00    7.000000E+01    1.000000E+01    3.000000E-01    2.000000E+03    0.000000E+00
   95 Dowpon              1.000000E+03    3.000000E+01    3.700000E+01    9.000000E-01    4.000000E+00    0.000000E+00
   96 Dropp               2.000000E+01    1.000000E+01    3.000000E+00    4.000000E-01    1.100000E+02    0.000000E+00
   97 DSMA                1.400000E+06    1.000000E+03    3.000000E+01    9.000000E-01    1.000000E+05    0.000000E+00
   98 Dual                5.300000E+02    9.000000E+01    5.000000E+00    6.000000E-01    2.000000E+02    0.000000E+00
   99 Du-ter              1.000000E+00    7.500000E+01    1.800000E+01    4.000000E-01    2.300000E+04    0.000000E+00
  100 Dyfonate            1.690000E+01    4.000000E+01    2.500000E+00    6.000000E-01    8.700000E+02    0.000000E+00
  101 Dylox               1.200000E+05    1.000000E+01    3.000000E+00    9.000000E-01    1.000000E+01    0.000000E+00
  102 Dymid               2.600000E+02    3.000000E+01    5.000000E+00    8.000000E-01    2.100000E+02    0.000000E+00
  103 Dynap               2.000000E+02    1.200000E+01    1.200000E+01    1.000000E+00    3.000000E+01    0.000000E+00
  104 Dyrene              8.000000E+00    1.000000E+00    5.000000E-01    5.000000E-01    3.000000E+03    0.000000E+00
  105 Elgetol             1.000000E+05    2.000000E+01    8.000000E+00    9.000000E-01    2.000000E+01    0.000000E+00
  106 EPN                 5.000000E-01    5.000000E+00    5.000000E+00    6.000000E-01    1.300000E+04    0.000000E+00
  107 Eradicane           3.440000E+02    6.000000E+00    3.000000E+00    8.000000E-01    2.000000E+02    0.000000E+00
  108 Ethanox             1.100000E+00    1.500000E+02    7.000000E+00    6.000000E-01    1.000000E+04    0.000000E+00
  109 Evik                1.850000E+02    6.000000E+01    5.000000E+00    6.000000E-01    3.000000E+02    0.000000E+00
  110 Evital              2.800000E+01    9.000000E+01    1.500000E+01    5.000000E-01    6.000000E+02    0.000000E+00
  111 Far-Go              4.000000E+00    8.200000E+01    1.500000E+01    4.000000E-01    2.400000E+03    0.000000E+00
  112 Fenatrol            5.000000E+05    1.800000E+02    3.000000E+01    9.000000E-01    2.000000E+01    0.000000E+00
  113 Fenitox             3.000000E+01    8.000000E+00    3.000000E+00    9.000000E-01    2.000000E+03    0.000000E+00
  114 Fruitone CPA        2.000000E+05    1.000000E+01    3.000000E+00    9.000000E-01    2.000000E+01    0.000000E+00
  115 Fumazone            1.000000E+03    1.800000E+02    9.900000E+01    1.000000E+00    7.000000E+01    0.000000E+00
  116 Fundal              5.000000E+05    6.000000E+01    1.000000E+00    9.000000E-01    1.000000E+05    0.000000E+00
  117 Funginex            3.000000E+01    2.100000E+01    5.000000E+00    8.000000E-01    5.400000E+02    0.000000E+00
  118 Furadan             3.510000E+02    5.000000E+01    2.000000E+00    6.000000E-01    2.200000E+01    0.000000E+00
  119 Fusilade            2.000000E+00    1.500000E+01    4.000000E+00    4.000000E-01    5.700000E+03    0.000000E+00
  120 Glean               7.000000E+03    1.600000E+02    3.000000E+01    8.000000E-01    4.000000E+01    0.000000E+00
  121 Goal                1.000000E-01    3.500000E+01    8.000000E+00    4.000000E-01    1.000000E+05    0.000000E+00
  122 Guthion             2.900000E+01    1.000000E+01    2.000000E+00    6.000000E-01    1.000000E+03    0.000000E+00
  123 Harmony             2.400000E+03    1.200000E+01    3.000000E+00    8.000000E-01    4.500000E+01    0.000000E+00
  124 Harvade             3.000000E+03    1.000000E+01    3.000000E+00    8.000000E-01    1.000000E+01    0.000000E+00
  125 Hoelon              8.000000E-01    3.700000E+01    0.000000E+00    0.000000E+00    1.600000E+04    0.000000E+00
  126 Hyvar               7.000000E+02    6.000000E+01    2.000000E+01    8.000000E-01    3.200000E+01    0.000000E+00
  127 Hyvar               7.000000E+02    6.000000E+01    0.000000E+00    0.000000E+00    3.200000E+01    0.000000E+00
  128 Imidan              2.000000E+01    1.900000E+01    3.000000E+00    9.000000E-01    8.200000E+02    0.000000E+00
  129 Isotox              7.300000E+00    4.000000E+02    2.500000E+00    1.000000E-01    1.100000E+03    0.000000E+00
  130 Karate              0.000000E+00    3.000000E+01    5.000000E+00    4.000000E-01    1.800000E+05    0.000000E+00
  131 Karathane           4.000000E+00    2.000000E+01    8.000000E+00    3.000000E-01    5.500000E+02    0.000000E+00
  132 Karmex              4.200000E+01    9.000000E+01    3.000000E+01    4.000000E-01    4.800000E+02    0.000000E+00
  133 Kelthane            1.000000E+00    6.000000E+01    4.000000E+00    1.000000E-01    1.800000E+05    0.000000E+00
  134 Kerb                1.500000E+01    6.000000E+01    2.000000E+01    3.000000E-01    2.000000E+02    0.000000E+00
  135 Krenite             1.790000E+06    8.000000E+00    4.000000E+00    9.000000E-01    1.500000E+02    0.000000E+00
  136 Lannate             5.800000E+04    3.000000E+01    5.000000E-01    6.000000E-01    7.200000E+01    0.000000E+00
  137 Larvadex            1.360000E+05    1.500000E+02    3.000000E+01    9.000000E-01    2.000000E+02    0.000000E+00
  138 Larvin              1.910000E+01    7.000000E+00    4.000000E+00    7.000000E-01    3.500000E+02    0.000000E+00
  139 Lasso               2.400000E+02    1.500000E+01    3.000000E+00    4.000000E-01    1.700000E+02    0.000000E+00
  140 Limit               1.000000E+01    2.000000E+01    8.000000E+00    7.000000E-01    1.000000E+03    0.000000E+00
  141 Logic               6.000000E+00    1.000000E+00    9.900000E+01    1.000000E+00    1.000000E+03    0.000000E+00
  142 Londax              1.200000E+02    5.000000E+00    9.900000E+01    1.000000E+00    3.100000E+02    0.000000E+00
  143 Lontrel             3.000000E+05    3.000000E+01    2.000000E+00    9.000000E-01    6.000000E+00    0.000000E+00
  144 Lorox               7.500000E+01    6.000000E+01    1.500000E+01    6.000000E-01    4.000000E+02    0.000000E+00
  145 Lorsban             4.000000E-01    3.000000E+01    3.300000E+00    6.000000E-01    6.070000E+03    0.000000E+00
  146 Manzate             6.000000E+00    1.200000E+01    3.000000E+00    6.000000E-01    1.000000E+03    0.000000E+00
  147 Marlate             1.000000E-01    1.200000E+02    6.000000E+00    1.000000E-01    8.000000E+04    0.000000E+00
  148 Matacil             9.150000E+02    6.000000E+00    4.000000E+00    9.000000E-01    1.000000E+02    0.000000E+00
  149 Mavrik              0.000000E+00    3.000000E+01    7.000000E+00    4.000000E-01    1.000000E+06    0.000000E+00
  150 Merpan              4.000000E+00    1.000000E+01    9.000000E+00    6.000000E-01    1.980000E+02    0.000000E+00
  151 Metasystox          1.000000E+06    1.000000E+01    3.000000E+00    9.000000E-01    1.000000E+01    0.000000E+00
  152 Metaldehyde         2.300000E+02    1.000000E+01    9.900000E+01    1.000000E+00    2.400000E+02    0.000000E+00
  153 Methyl Parathion    6.000000E+01    5.000000E+00    3.000000E+00    6.000000E-01    1.400000E+04    0.000000E+00
  154 Milogard            8.600000E+00    1.350000E+02    5.000000E+00    4.000000E-01    1.540000E+02    0.000000E+00
  155 Miral               6.900000E+01    3.400000E+01    5.000000E+00    6.000000E-01    1.000000E+02    0.000000E+00
  156 Mitac               1.000000E+00    2.000000E+00    1.000000E+00    4.000000E-01    1.000000E+03    0.000000E+00
  157 Mocap               7.500000E+02    2.500000E+01    9.900000E+01    1.000000E+00    7.000000E+01    0.000000E+00
  158 Modown              4.000000E-01    7.000000E+00    3.000000E+00    4.000000E-01    1.000000E+04    0.000000E+00
  159 Monitor             1.000000E+06    6.000000E+00    4.000000E+00    9.000000E-01    5.000000E+00    0.000000E+00
  160 Morestan            1.000000E+00    3.000000E+01    1.000000E+01    5.000000E-01    2.300000E+03    0.000000E+00
  161 MSMA                5.700000E+04    1.000000E+01    1.000000E+01    1.000000E+00    3.000000E+05    0.000000E+00
  162 Nemacur             4.000000E+02    5.000000E+01    9.900000E+01    1.000000E+00    1.000000E+02    0.000000E+00
  163    Nemacur          4.000000E+02    5.000000E+00    9.900000E+01    1.000000E+00    2.400000E+02    0.000000E+00
  164    N. Sulfoxide     4.000000E+02    4.200000E+01    9.900000E+01    1.000000E+00    4.000000E+01    0.000000E+00
  165    N. Sulfone       4.000000E+02    1.800000E+01    9.900000E+01    1.000000E+00    4.500000E+01    0.000000E+00
  166 Norton              5.000000E+01    3.000000E+01    1.000000E+01    6.000000E-01    3.400000E+02    0.000000E+00
  167 N-Serve             4.000000E+01    1.000000E+01    9.900000E+01    1.000000E+00    5.700000E+02    0.000000E+00
  168 Octave              3.400000E+01    1.200000E+02    3.000000E+01    5.000000E-01    5.000000E+02    0.000000E+00
  169 Oftanol             2.400000E+01    1.500000E+02    3.000000E+01    6.000000E-01    6.000000E+02    0.000000E+00
  170 Ordram              9.700000E+02    2.100000E+01    9.900000E+01    1.000000E+00    1.900000E+02    0.000000E+00
  171 Orthene             8.180000E+05    3.000000E+00    2.500000E+00    7.000000E-01    2.000000E+00    0.000000E+00
  172 Orthocide           5.100000E+00    2.500000E+00    9.000000E+00    6.000000E-01    2.000000E+02    0.000000E+00
  173 Oust                7.000000E+01    2.000000E+01    1.000000E+01    6.000000E-01    7.800000E+01    0.000000E+00
  174 Paarlan             1.000000E-01    1.000000E+02    9.900000E+01    1.000000E+00    1.000000E+04    0.000000E+00
  175 Paraquat            5.000000E+05    9.900000E+01    3.000000E+00    6.000000E-01    1.000000E+06    0.000000E+00
  176 Pay-Off             1.000000E-01    2.100000E+01    5.000000E+00    4.000000E-01    1.000000E+05    0.000000E+00
  177 Penncap-M           6.000000E+01    5.000000E+00    3.000000E+00    9.000000E-01    5.100000E+03    0.000000E+00
  178 Phenatox            3.000000E+00    9.000000E+00    2.000000E+00    1.000000E-01    1.000000E+05    0.000000E+00
  179 Phosdrin            6.000000E+05    3.000000E+00    6.000000E-01    9.000000E-01    4.400000E+01    0.000000E+00
  180 Phoskil             2.400000E+01    1.400000E+01    4.000000E+00    7.000000E-01    5.000000E+03    0.000000E+00
  181 Pipron              2.000000E+01    3.000000E+01    1.000000E+01    6.000000E-01    5.000000E+03    0.000000E+00
  182 Pix                 1.000000E+06    1.000000E+03    3.000000E+01    9.000000E-01    1.000000E+06    0.000000E+00
  183 Plantvax            1.000000E+03    2.000000E+01    1.000000E+01    7.000000E-01    9.500000E+01    0.000000E+00
